"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,1,1026,1030,-4,1351,1340,11,"AA",19,"N328AA","JFK","LAX",356,2475,10,30,2013-01-01 10:00:00
2013,1,1,1029,1030,-1,1427,1355,32,"AA",179,"N325AA","JFK","SFO",389,2586,10,30,2013-01-01 10:00:00
2013,1,1,1112,1100,12,1440,1438,2,"UA",285,"N517UA","JFK","SFO",364,2586,11,0,2013-01-01 11:00:00
2013,1,1,1127,1130,-3,1504,1448,16,"UA",703,"N518UA","JFK","LAX",357,2475,11,30,2013-01-01 11:00:00
2013,1,1,1155,1200,-5,1517,1510,7,"AA",3,"N322AA","JFK","LAX",353,2475,12,0,2013-01-01 12:00:00
2013,1,1,1237,1245,-8,1340,1350,-10,"AA",1850,"N3EGAA","JFK","BOS",40,187,12,45,2013-01-01 12:00:00
2013,1,1,1306,1240,26,1622,1555,27,"AA",2041,"N5DMAA","JFK","MIA",163,1089,12,40,2013-01-01 12:00:00
2013,1,1,1341,1345,-4,1709,1705,4,"AA",117,"N339AA","JFK","LAX",362,2475,13,45,2013-01-01 13:00:00
2013,1,1,1422,1425,-3,1748,1759,-11,"UA",257,"N502UA","JFK","SFO",362,2586,14,25,2013-01-01 14:00:00
2013,1,1,1442,1450,-8,1728,1755,-27,"AA",1813,"N5FMAA","JFK","MCO",141,944,14,50,2013-01-01 14:00:00
2013,1,1,1446,1455,-9,1803,1825,-22,"AA",1769,"N5EWAA","JFK","MIA",161,1089,14,55,2013-01-01 14:00:00
2013,1,1,1522,1530,-8,1858,1855,3,"UA",530,"N512UA","JFK","LAX",356,2475,15,30,2013-01-01 15:00:00
2013,1,1,1527,1530,-3,1841,1855,-14,"AA",1039,"N3HYAA","JFK","FLL",163,1069,15,30,2013-01-01 15:00:00
2013,1,1,1539,1530,9,1904,1910,-6,"AA",85,"N342AA","JFK","SFO",360,2586,15,30,2013-01-01 15:00:00
2013,1,1,1539,1545,-6,1853,1910,-17,"AA",133,"N319AA","JFK","LAX",351,2475,15,45,2013-01-01 15:00:00
2013,1,1,1552,1600,-8,1933,1915,18,"AA",565,"N3CGAA","JFK","DFW",254,1391,16,0,2013-01-01 16:00:00
2013,1,1,1625,1550,35,2054,2050,4,"AA",1635,"N630AA","JFK","SJU",188,1598,15,50,2013-01-01 15:00:00
2013,1,1,1641,1650,-9,1746,1820,-34,"AA",1790,"N3BYAA","JFK","BOS",41,187,16,50,2013-01-01 16:00:00
2013,1,1,1655,1700,-5,1953,1950,3,"AA",575,"N5DRAA","JFK","EGE",280,1747,17,0,2013-01-01 17:00:00
2013,1,1,1656,1700,-4,1941,1955,-14,"AA",257,"N3CAAA","JFK","LAS",322,2248,17,0,2013-01-01 17:00:00
2013,1,1,1701,1710,-9,2026,2015,11,"AA",695,"N3FUAA","JFK","AUS",247,1521,17,10,2013-01-01 17:00:00
2013,1,1,1714,1720,-6,1915,1915,0,"AA",1351,"N3CVAA","JFK","ORD",146,740,17,20,2013-01-01 17:00:00
2013,1,1,1726,1730,-4,2054,2050,4,"AA",543,"N386AA","JFK","MIA",157,1089,17,30,2013-01-01 17:00:00
2013,1,1,1726,1729,-3,2042,2100,-18,"UA",512,"N557UA","JFK","SFO",347,2586,17,29,2013-01-01 17:00:00
2013,1,1,1727,1725,2,2043,2040,3,"AA",145,"N377AA","JFK","SAN",357,2446,17,25,2013-01-01 17:00:00
2013,1,1,1750,1750,0,2109,2115,-6,"UA",535,"N525UA","JFK","LAX",345,2475,17,50,2013-01-01 17:00:00
2013,1,1,1824,1830,-6,2203,2205,-2,"AA",269,"N3ETAA","JFK","SEA",348,2422,18,30,2013-01-01 18:00:00
2013,1,1,1840,1845,-5,2223,2226,-3,"UA",389,"N508UA","JFK","SFO",357,2586,18,45,2013-01-01 18:00:00
2013,1,1,1846,1855,-9,2336,2355,-19,"AA",1613,"N5BYAA","JFK","SJU",190,1598,18,55,2013-01-01 18:00:00
2013,1,1,1848,1745,63,2238,2120,78,"AA",177,"N332AA","JFK","SFO",361,2586,17,45,2013-01-01 17:00:00
2013,1,1,1856,1645,131,2212,2005,127,"AA",181,"N323AA","JFK","LAX",336,2475,16,45,2013-01-01 16:00:00
2013,1,1,1937,1905,32,2250,2225,25,"AA",21,"N327AA","JFK","LAX",332,2475,19,5,2013-01-01 19:00:00
2013,1,1,1939,1940,-1,2238,2240,-2,"AA",1787,"N3EGAA","JFK","TPA",158,1005,19,40,2013-01-01 19:00:00
2013,1,1,2013,2015,-2,2120,2130,-10,"AA",1762,"N3BNAA","JFK","BOS",35,187,20,15,2013-01-01 20:00:00
2013,1,1,2128,2135,-7,26,50,-24,"AA",185,"N338AA","JFK","LAX",338,2475,21,35,2013-01-01 21:00:00
2013,1,2,535,540,-5,831,850,-19,"AA",1141,"N621AA","JFK","MIA",156,1089,5,40,2013-01-02 05:00:00
2013,1,2,558,600,-2,916,931,-15,"UA",303,"N505UA","JFK","SFO",341,2586,6,0,2013-01-02 06:00:00
2013,1,2,616,600,16,1001,917,44,"UA",1141,"N19141","JFK","LAX",354,2475,6,0,2013-01-02 06:00:00
2013,1,2,655,659,-4,955,959,-4,"AA",1815,"N5EUAA","JFK","MCO",144,944,6,59,2013-01-02 06:00:00
2013,1,2,705,630,35,1209,1140,29,"AA",413,"N3GEAA","JFK","SJU",197,1598,6,30,2013-01-02 06:00:00
2013,1,2,707,715,-8,1022,1045,-23,"AA",443,"N3HYAA","JFK","MIA",160,1089,7,15,2013-01-02 07:00:00
2013,1,2,714,715,-1,1026,1035,-9,"AA",825,"N3BAAA","JFK","FLL",161,1069,7,15,2013-01-02 07:00:00
2013,1,2,715,715,0,1047,1112,-25,"UA",223,"N517UA","JFK","SFO",341,2586,7,15,2013-01-02 07:00:00
2013,1,2,732,730,2,1105,1100,5,"AA",33,"N322AA","JFK","LAX",351,2475,7,30,2013-01-02 07:00:00
2013,1,2,739,745,-6,1116,1125,-9,"AA",59,"N325AA","JFK","SFO",353,2586,7,45,2013-01-02 07:00:00
2013,1,2,806,810,-4,1300,1315,-15,"AA",655,"N5FTAA","JFK","STT",193,1623,8,10,2013-01-02 08:00:00
2013,1,2,817,810,7,931,925,6,"AA",1838,"N3BYAA","JFK","BOS",37,187,8,10,2013-01-02 08:00:00
2013,1,2,829,830,-1,1154,1200,-6,"UA",572,"N525UA","JFK","LAX",340,2475,8,30,2013-01-02 08:00:00
2013,1,2,837,845,-8,1403,1350,13,"AA",1357,"N5FMAA","JFK","SJU",200,1598,8,45,2013-01-02 08:00:00
2013,1,2,839,800,39,1205,1144,21,"UA",397,"N554UA","JFK","SFO",349,2586,8,0,2013-01-02 08:00:00
2013,1,2,855,900,-5,1225,1220,5,"AA",1,"N336AA","JFK","LAX",336,2475,9,0,2013-01-02 09:00:00
2013,1,2,858,900,-2,1230,1220,10,"AA",647,"N5ENAA","JFK","MIA",163,1089,9,0,2013-01-02 09:00:00
2013,1,2,1038,1030,8,1347,1340,7,"AA",19,"N328AA","JFK","LAX",344,2475,10,30,2013-01-02 10:00:00
2013,1,2,1100,1100,0,1408,1438,-30,"UA",642,"N557UA","JFK","SFO",340,2586,11,0,2013-01-02 11:00:00
2013,1,2,1125,1130,-5,1416,1448,-32,"UA",703,"N510UA","JFK","LAX",332,2475,11,30,2013-01-02 11:00:00
2013,1,2,1204,1200,4,1511,1510,1,"AA",3,"N319AA","JFK","LAX",341,2475,12,0,2013-01-02 12:00:00
2013,1,2,1250,1245,5,1349,1350,-1,"AA",1850,"N3AUAA","JFK","BOS",36,187,12,45,2013-01-02 12:00:00
2013,1,2,1341,1345,-4,1648,1705,-17,"AA",117,"N332AA","JFK","LAX",344,2475,13,45,2013-01-02 13:00:00
2013,1,2,1345,1240,65,1642,1555,47,"AA",2041,"N5CYAA","JFK","MIA",159,1089,12,40,2013-01-02 12:00:00
2013,1,2,1416,1429,-13,1736,1803,-27,"UA",257,"N518UA","JFK","SFO",341,2586,14,29,2013-01-02 14:00:00
2013,1,2,1506,1455,11,1824,1825,-1,"AA",1769,"N5EUAA","JFK","MIA",163,1089,14,55,2013-01-02 14:00:00
2013,1,2,1525,1530,-5,1832,1855,-23,"UA",530,"N532UA","JFK","LAX",341,2475,15,30,2013-01-02 15:00:00
2013,1,2,1529,1530,-1,1853,1855,-2,"AA",1039,"N3HLAA","JFK","FLL",159,1069,15,30,2013-01-02 15:00:00
2013,1,2,1530,1530,0,1859,1910,-11,"AA",85,"N344AA","JFK","SFO",354,2586,15,30,2013-01-02 15:00:00
2013,1,2,1557,1600,-3,1935,1915,20,"AA",565,"N3CKAA","JFK","DFW",230,1391,16,0,2013-01-02 16:00:00
2013,1,2,1607,1030,337,2003,1355,368,"AA",179,"N324AA","JFK","SFO",346,2586,10,30,2013-01-02 10:00:00
2013,1,2,1609,1550,19,2105,2050,15,"AA",1635,"N5DNAA","JFK","SJU",190,1598,15,50,2013-01-02 15:00:00
2013,1,2,1646,1650,-4,1810,1820,-10,"AA",1790,"N3HPAA","JFK","BOS",45,187,16,50,2013-01-02 16:00:00
2013,1,2,1701,1700,1,2031,1955,36,"AA",257,"N3BTAA","JFK","LAS",331,2248,17,0,2013-01-02 17:00:00
2013,1,2,1705,1700,5,2006,1950,16,"AA",575,"N631AA","JFK","EGE",260,1747,17,0,2013-01-02 17:00:00
2013,1,2,1716,1710,6,2053,2015,38,"AA",695,"N3AUAA","JFK","AUS",252,1521,17,10,2013-01-02 17:00:00
2013,1,2,1717,1645,32,2033,2005,28,"AA",181,"N338AA","JFK","LAX",335,2475,16,45,2013-01-02 16:00:00
2013,1,2,1719,1720,-1,1921,1915,6,"AA",1351,"N3CWAA","JFK","ORD",125,740,17,20,2013-01-02 17:00:00
2013,1,2,1727,1729,-2,2031,2049,-18,"AA",543,"N371AA","JFK","MIA",156,1089,17,29,2013-01-02 17:00:00
2013,1,2,1730,1729,1,2039,2100,-21,"UA",512,"N502UA","JFK","SFO",328,2586,17,29,2013-01-02 17:00:00
2013,1,2,1734,1725,9,2044,2040,4,"AA",145,"N342AA","JFK","SAN",344,2446,17,25,2013-01-02 17:00:00
2013,1,2,1746,1750,-4,2043,2115,-32,"UA",535,"N512UA","JFK","LAX",325,2475,17,50,2013-01-02 17:00:00
2013,1,2,1751,1450,181,2041,1755,166,"AA",1813,"N5FFAA","JFK","MCO",149,944,14,50,2013-01-02 14:00:00
2013,1,2,1755,1745,10,2111,2120,-9,"AA",177,"N323AA","JFK","SFO",348,2586,17,45,2013-01-02 17:00:00
2013,1,2,1835,1830,5,2145,2205,-20,"AA",269,"N3BAAA","JFK","SEA",337,2422,18,30,2013-01-02 18:00:00
2013,1,2,1844,1845,-1,2236,2226,10,"UA",389,"N508UA","JFK","SFO",339,2586,18,45,2013-01-02 18:00:00
2013,1,2,1852,1855,-3,2351,2355,-4,"AA",1613,"N5DRAA","JFK","SJU",191,1598,18,55,2013-01-02 18:00:00
2013,1,2,1905,1905,0,2216,2225,-9,"AA",21,"N339AA","JFK","LAX",333,2475,19,5,2013-01-02 19:00:00
2013,1,2,1939,1940,-1,2242,2240,2,"AA",1787,"N3GRAA","JFK","TPA",160,1005,19,40,2013-01-02 19:00:00
2013,1,2,2023,2015,8,2132,2130,2,"AA",1762,"N3GCAA","JFK","BOS",42,187,20,15,2013-01-02 20:00:00
2013,1,2,2134,2135,-1,36,50,-14,"AA",185,"N322AA","JFK","LAX",340,2475,21,35,2013-01-02 21:00:00
2013,1,3,535,540,-5,835,850,-15,"AA",1141,"N618AA","JFK","MIA",158,1089,5,40,2013-01-03 05:00:00
2013,1,3,604,600,4,852,925,-33,"UA",303,"N517UA","JFK","SFO",324,2586,6,0,2013-01-03 06:00:00
2013,1,3,616,559,17,913,916,-3,"UA",1570,"N18119","JFK","LAX",335,2475,5,59,2013-01-03 05:00:00
2013,1,3,622,630,-8,1128,1140,-12,"AA",413,"N3HLAA","JFK","SJU",202,1598,6,30,2013-01-03 06:00:00
2013,1,3,657,659,-2,1011,959,12,"AA",1815,"N5ETAA","JFK","MCO",158,944,6,59,2013-01-03 06:00:00
2013,1,3,710,715,-5,1042,1045,-3,"AA",443,"N3BYAA","JFK","MIA",169,1089,7,15,2013-01-03 07:00:00
2013,1,3,712,715,-3,1043,1035,8,"AA",825,"N3HPAA","JFK","FLL",171,1069,7,15,2013-01-03 07:00:00
2013,1,3,716,715,1,1050,1040,10,"UA",799,"N525UA","JFK","SFO",336,2586,7,15,2013-01-03 07:00:00
2013,1,3,730,730,0,1014,1100,-46,"AA",33,"N336AA","JFK","LAX",313,2475,7,30,2013-01-03 07:00:00
2013,1,3,742,745,-3,1049,1125,-36,"AA",59,"N324AA","JFK","SFO",336,2586,7,45,2013-01-03 07:00:00
2013,1,3,758,759,-1,1114,1124,-10,"UA",397,"N554UA","JFK","SFO",337,2586,7,59,2013-01-03 07:00:00
2013,1,3,806,810,-4,907,925,-18,"AA",1838,"N3GEAA","JFK","BOS",34,187,8,10,2013-01-03 08:00:00
2013,1,3,807,810,-3,1301,1315,-14,"AA",655,"N5FJAA","JFK","STT",211,1623,8,10,2013-01-03 08:00:00
2013,1,3,825,829,-4,1120,1145,-25,"UA",871,"N512UA","JFK","LAX",321,2475,8,29,2013-01-03 08:00:00
2013,1,3,855,900,-5,1144,1220,-36,"AA",1,"N327AA","JFK","LAX",323,2475,9,0,2013-01-03 09:00:00
2013,1,3,859,900,-1,1200,1220,-20,"AA",647,"N612AA","JFK","MIA",160,1089,9,0,2013-01-03 09:00:00
2013,1,3,936,845,51,1446,1350,56,"AA",1357,"N5FFAA","JFK","SJU",205,1598,8,45,2013-01-03 08:00:00
2013,1,3,1024,1030,-6,1312,1340,-28,"AA",19,"N323AA","JFK","LAX",322,2475,10,30,2013-01-03 10:00:00
2013,1,3,1026,1030,-4,1312,1355,-43,"AA",179,"N339AA","JFK","SFO",326,2586,10,30,2013-01-03 10:00:00
2013,1,3,1100,1100,0,1407,1425,-18,"UA",642,"N555UA","JFK","SFO",342,2586,11,0,2013-01-03 11:00:00
2013,1,3,1127,1130,-3,1357,1445,-48,"UA",703,"N510UA","JFK","LAX",305,2475,11,30,2013-01-03 11:00:00
2013,1,3,1152,1200,-8,1446,1510,-24,"AA",3,"N328AA","JFK","LAX",325,2475,12,0,2013-01-03 12:00:00
2013,1,3,1235,1240,-5,1550,1555,-5,"AA",2041,"N630AA","JFK","MIA",164,1089,12,40,2013-01-03 12:00:00
2013,1,3,1240,1245,-5,1343,1350,-7,"AA",1850,"N3GEAA","JFK","BOS",35,187,12,45,2013-01-03 12:00:00
2013,1,3,1340,1345,-5,1652,1705,-13,"AA",117,"N325AA","JFK","LAX",331,2475,13,45,2013-01-03 13:00:00
2013,1,3,1425,1429,-4,1711,1754,-43,"UA",257,"N508UA","JFK","SFO",326,2586,14,29,2013-01-03 14:00:00
2013,1,3,1452,1455,-3,1803,1825,-22,"AA",1769,"N5FAAA","JFK","MIA",162,1089,14,55,2013-01-03 14:00:00
2013,1,3,1509,1450,19,1813,1755,18,"AA",1813,"N5ETAA","JFK","MCO",153,944,14,50,2013-01-03 14:00:00
2013,1,3,1530,1530,0,1857,1855,2,"AA",1039,"N3AUAA","JFK","FLL",172,1069,15,30,2013-01-03 15:00:00
2013,1,3,1546,1545,1,1851,1910,-19,"AA",133,"N319AA","JFK","LAX",319,2475,15,45,2013-01-03 15:00:00
2013,1,3,1547,1540,7,1845,1900,-15,"UA",161,"N12116","JFK","LAX",323,2475,15,40,2013-01-03 15:00:00
2013,1,3,1553,1600,-7,1915,1915,0,"AA",565,"N3BKAA","JFK","DFW",231,1391,16,0,2013-01-03 16:00:00
2013,1,3,1644,1650,-6,1746,1820,-34,"AA",1790,"N3HKAA","JFK","BOS",40,187,16,50,2013-01-03 16:00:00
2013,1,3,1700,1700,0,1923,1955,-32,"AA",257,"N3BYAA","JFK","LAS",297,2248,17,0,2013-01-03 17:00:00
2013,1,3,1706,1710,-4,2041,2015,26,"AA",695,"N3GEAA","JFK","AUS",254,1521,17,10,2013-01-03 17:00:00
2013,1,3,1720,1645,35,2017,2005,12,"AA",181,"N322AA","JFK","LAX",319,2475,16,45,2013-01-03 16:00:00
2013,1,3,1725,1729,-4,2030,2049,-19,"AA",543,"N396AA","JFK","MIA",157,1089,17,29,2013-01-03 17:00:00
2013,1,3,1725,1725,0,2024,2050,-26,"UA",512,"N518UA","JFK","SFO",332,2586,17,25,2013-01-03 17:00:00
2013,1,3,1730,1725,5,2010,2040,-30,"AA",145,"N342AA","JFK","SAN",309,2446,17,25,2013-01-03 17:00:00
2013,1,3,1735,1720,15,1936,1915,21,"AA",1351,"N3CXAA","JFK","ORD",135,740,17,20,2013-01-03 17:00:00
2013,1,3,1751,1753,-2,2043,2105,-22,"UA",535,"N532UA","JFK","LAX",320,2475,17,53,2013-01-03 17:00:00
2013,1,3,1758,1550,128,2240,2050,110,"AA",1635,"N5CCAA","JFK","SJU",193,1598,15,50,2013-01-03 15:00:00
2013,1,3,1821,1530,171,2131,1910,141,"AA",85,"N357AA","JFK","SFO",328,2586,15,30,2013-01-03 15:00:00
2013,1,3,1832,1830,2,2152,2205,-13,"AA",269,"N3HPAA","JFK","SEA",340,2422,18,30,2013-01-03 18:00:00
2013,1,3,1839,1700,99,2056,1950,66,"AA",575,"N631AA","JFK","EGE",239,1747,17,0,2013-01-03 17:00:00
2013,1,3,1847,1855,-8,2334,2355,-21,"AA",1613,"N617AA","JFK","SJU",189,1598,18,55,2013-01-03 18:00:00
2013,1,3,1850,1745,65,2148,2120,28,"AA",177,"N332AA","JFK","SFO",314,2586,17,45,2013-01-03 17:00:00
2013,1,3,1909,1905,4,2145,2225,-40,"AA",21,"N338AA","JFK","LAX",293,2475,19,5,2013-01-03 19:00:00
2013,1,3,1915,1830,45,2212,2202,10,"UA",272,"N505UA","JFK","SFO",333,2586,18,30,2013-01-03 18:00:00
2013,1,3,1951,1940,11,2256,2240,16,"AA",1787,"N3ELAA","JFK","TPA",162,1005,19,40,2013-01-03 19:00:00
2013,1,3,2015,2015,0,2116,2130,-14,"AA",1762,"N3GYAA","JFK","BOS",39,187,20,15,2013-01-03 20:00:00
2013,1,3,2023,2030,-7,2308,2334,-26,"UA",771,"N517UA","JFK","LAX",309,2475,20,30,2013-01-03 20:00:00
2013,1,3,2137,2135,2,2358,50,-52,"AA",185,"N336AA","JFK","LAX",299,2475,21,35,2013-01-03 21:00:00
2013,1,4,546,540,6,851,850,1,"AA",1141,"N5DVAA","JFK","MIA",159,1089,5,40,2013-01-04 05:00:00
2013,1,4,559,600,-1,902,925,-23,"UA",303,"N557UA","JFK","SFO",334,2586,6,0,2013-01-04 06:00:00
2013,1,4,606,559,7,846,916,-30,"UA",1669,"N19117","JFK","LAX",307,2475,5,59,2013-01-04 05:00:00
2013,1,4,628,630,-2,1124,1140,-16,"AA",413,"N3HLAA","JFK","SJU",202,1598,6,30,2013-01-04 06:00:00
2013,1,4,655,659,-4,955,959,-4,"AA",1815,"N5ETAA","JFK","MCO",156,944,6,59,2013-01-04 06:00:00
2013,1,4,708,715,-7,1035,1040,-5,"UA",799,"N525UA","JFK","SFO",342,2586,7,15,2013-01-04 07:00:00
2013,1,4,712,715,-3,1022,1045,-23,"AA",443,"N3DVAA","JFK","MIA",156,1089,7,15,2013-01-04 07:00:00
2013,1,4,712,715,-3,1021,1035,-14,"AA",825,"N3AUAA","JFK","FLL",163,1069,7,15,2013-01-04 07:00:00
2013,1,4,728,730,-2,1024,1100,-36,"AA",33,"N323AA","JFK","LAX",327,2475,7,30,2013-01-04 07:00:00
2013,1,4,746,745,1,1106,1125,-19,"AA",59,"N339AA","JFK","SFO",343,2586,7,45,2013-01-04 07:00:00
2013,1,4,759,759,0,1120,1124,-4,"UA",397,"N532UA","JFK","SFO",346,2586,7,59,2013-01-04 07:00:00
2013,1,4,811,810,1,925,925,0,"AA",1838,"N3HKAA","JFK","BOS",42,187,8,10,2013-01-04 08:00:00
2013,1,4,813,810,3,1335,1315,20,"AA",655,"N5FSAA","JFK","STT",216,1623,8,10,2013-01-04 08:00:00
2013,1,4,834,829,5,1134,1153,-19,"UA",112,"N34137","JFK","LAX",321,2475,8,29,2013-01-04 08:00:00
2013,1,4,842,845,-3,1343,1350,-7,"AA",1357,"N5EUAA","JFK","SJU",200,1598,8,45,2013-01-04 08:00:00
2013,1,4,858,900,-2,1210,1220,-10,"AA",1,"N328AA","JFK","LAX",327,2475,9,0,2013-01-04 09:00:00
2013,1,4,858,900,-2,1240,1220,20,"AA",647,"N5CRAA","JFK","MIA",165,1089,9,0,2013-01-04 09:00:00
2013,1,4,1028,1030,-2,1342,1340,2,"AA",19,"N327AA","JFK","LAX",334,2475,10,30,2013-01-04 10:00:00
2013,1,4,1031,1030,1,1343,1355,-12,"AA",179,"N324AA","JFK","SFO",342,2586,10,30,2013-01-04 10:00:00
2013,1,4,1053,1100,-7,1349,1425,-36,"UA",642,"N518UA","JFK","SFO",337,2586,11,0,2013-01-04 11:00:00
2013,1,4,1118,1130,-12,1350,1445,-55,"UA",703,"N512UA","JFK","LAX",309,2475,11,30,2013-01-04 11:00:00
2013,1,4,1157,1200,-3,1447,1510,-23,"AA",3,"N322AA","JFK","LAX",327,2475,12,0,2013-01-04 12:00:00
2013,1,4,1238,1245,-7,1338,1350,-12,"AA",1850,"N3HKAA","JFK","BOS",40,187,12,45,2013-01-04 12:00:00
2013,1,4,1340,1345,-5,1632,1705,-33,"AA",117,"N319AA","JFK","LAX",325,2475,13,45,2013-01-04 13:00:00
2013,1,4,1352,1240,72,1701,1555,66,"AA",2041,"N617AA","JFK","MIA",161,1089,12,40,2013-01-04 12:00:00
2013,1,4,1423,1430,-7,1732,1755,-23,"UA",257,"N554UA","JFK","SFO",346,2586,14,30,2013-01-04 14:00:00
2013,1,4,1447,1450,-3,1807,1755,12,"AA",1813,"N5FTAA","JFK","MCO",148,944,14,50,2013-01-04 14:00:00
2013,1,4,1507,1455,12,1828,1825,3,"AA",1769,"N5FNAA","JFK","MIA",159,1089,14,55,2013-01-04 14:00:00
2013,1,4,1529,1530,-1,1915,1855,20,"AA",1039,"N3ANAA","JFK","FLL",158,1069,15,30,2013-01-04 15:00:00
2013,1,4,1547,1540,7,1840,1900,-20,"UA",161,"N18112","JFK","LAX",324,2475,15,40,2013-01-04 15:00:00
2013,1,4,1555,1550,5,2100,2050,10,"AA",1635,"N3AHAA","JFK","SJU",202,1598,15,50,2013-01-04 15:00:00
2013,1,4,1622,1530,52,1925,1910,15,"AA",85,"N373AA","JFK","SFO",339,2586,15,30,2013-01-04 15:00:00
2013,1,4,1628,1600,28,1918,1915,3,"AA",565,"N3GFAA","JFK","DFW",207,1391,16,0,2013-01-04 16:00:00
2013,1,4,1644,1645,-1,1929,2005,-36,"AA",181,"N336AA","JFK","LAX",326,2475,16,45,2013-01-04 16:00:00
2013,1,4,1646,1650,-4,1748,1820,-32,"AA",1790,"N3FJAA","JFK","BOS",41,187,16,50,2013-01-04 16:00:00
2013,1,4,1655,1700,-5,1921,1955,-34,"AA",257,"N3JDAA","JFK","LAS",299,2248,17,0,2013-01-04 17:00:00
2013,1,4,1703,1545,78,2001,1910,51,"AA",133,"N325AA","JFK","LAX",328,2475,15,45,2013-01-04 15:00:00
2013,1,4,1706,1710,-4,2007,2015,-8,"AA",695,"N3HKAA","JFK","AUS",223,1521,17,10,2013-01-04 17:00:00
2013,1,4,1716,1720,-4,1849,1915,-26,"AA",1351,"N3AMAA","JFK","ORD",128,740,17,20,2013-01-04 17:00:00
2013,1,4,1723,1725,-2,2013,2050,-37,"UA",512,"N508UA","JFK","SFO",329,2586,17,25,2013-01-04 17:00:00
2013,1,4,1734,1729,5,2037,2049,-12,"AA",543,"N358AA","JFK","MIA",153,1089,17,29,2013-01-04 17:00:00
2013,1,4,1737,1725,12,2025,2040,-15,"AA",145,"N342AA","JFK","SAN",326,2446,17,25,2013-01-04 17:00:00
2013,1,4,1756,1753,3,2037,2105,-28,"UA",535,"N517UA","JFK","LAX",317,2475,17,53,2013-01-04 17:00:00
2013,1,4,1830,1830,0,2148,2205,-17,"AA",269,"N3AUAA","JFK","SEA",349,2422,18,30,2013-01-04 18:00:00
2013,1,4,1830,1830,0,2129,2202,-33,"UA",272,"N505UA","JFK","SFO",341,2586,18,30,2013-01-04 18:00:00
2013,1,4,1852,1855,-3,2351,2355,-4,"AA",1613,"N631AA","JFK","SJU",198,1598,18,55,2013-01-04 18:00:00
2013,1,4,1917,1700,137,2135,1950,105,"AA",575,"N5EUAA","JFK","EGE",239,1747,17,0,2013-01-04 17:00:00
2013,1,4,1946,1905,41,2226,2225,1,"AA",21,"N338AA","JFK","LAX",312,2475,19,5,2013-01-04 19:00:00
2013,1,4,1948,1940,8,2250,2240,10,"AA",1787,"N3CAAA","JFK","TPA",152,1005,19,40,2013-01-04 19:00:00
2013,1,4,2010,1745,145,2257,2120,97,"AA",177,"N332AA","JFK","SFO",327,2586,17,45,2013-01-04 17:00:00
2013,1,4,2019,2030,-11,2254,2334,-40,"UA",771,"N557UA","JFK","LAX",312,2475,20,30,2013-01-04 20:00:00
2013,1,4,2130,2135,-5,5,50,-45,"AA",185,"N323AA","JFK","LAX",315,2475,21,35,2013-01-04 21:00:00
2013,1,4,2210,2015,115,2311,2130,101,"AA",1762,"N3BYAA","JFK","BOS",41,187,20,15,2013-01-04 20:00:00
